id,title,genres,vote_average,Plot
695721,The Hunger Games: The Ballad of Songbirds & Snakes,Drama-Science Fiction-Action,7.3,64 year befor he becom the tyrann presid of panem coriolanu snow see a chanc for a chang in fortun when he mentor luci gray baird the femal tribut from district 12. daughter-bas on novel or book-arena-fight-mentor-dystopia-riot-exploration-president-prequel-survival-murder-snow-creature-battle-spin off-fight to the death-young adult-origin story-bas on young adult novel-death game-teenag drama-sci fiction-act the hunger game : the ballad of songbird & snake
639720,IF,Comedy-Fantasy-Family,7.5,a young girl who goe through a difficult experi begin to see everyon 's imaginari friend who have been left behind as their real-lif friend have grown up . friendship-imaginari friend-angry-imaginary-l action and animation-imagin comedy-fantasy-famili if
726209,Leave the World Behind,Drama-Mystery-Thriller-Science Fiction,6.688,a famili 's getaway to a luxuri rental home take an omin turn when a cyberattack knock out their devic — and two stranger appear at their door . base on novel or book-crisis-vac drama-mystery-thriller-sci fiction leav the world behind
646097,Rebel Ridge,Crime-Action-Thriller,6.902,a former marin confront corrupt in a small town when local law enforc unjustli seiz the bag of cash he need to post hi cousin 's bail . small town-polic chief-louisiana-money-polic corruption-ex-marine-tense-admiring-appreciative-approving-assert crime-action-thril rebel ridg
697843,Extraction 2,Action-Thriller,7.616,task with extract a famili who is at the merci of a georgian gangster tyler rake infiltr one of the world 's deadliest prison in order to save them . but when the extract get hot and the gangster die in the heat of battl hi equal ruthless brother track down rake and hi team to vienna in order to get reveng . mercenary-sequel-rescu mission-long take-bas on graphic novel action-thril extract 2
762441,A Quiet Place: Day One,Horror-Science Fiction-Thriller,6.79,as new york citi is invad by alien creatur who hunt by sound a woman name sam fight to surviv with her cat . monster-escape-cat-alien-prequel-survival-survivalist-fear-spin off-noise-silence-quiet horror-sci fiction-thril a quiet place : day one
758009,Shotgun Wedding,Action-Romance-Comedy,6.334,darci and tom gather their famili for the ultim destin wed but when the entir parti is taken hostag “ ’ til death do us part ” take on a whole new mean in thi hilari adrenaline-fuel adventur as darci and tom must save their love ones—if they don ’ t kill each other first . wedding-hostag situat action-romance-comedi shotgun wed
762430,Retribution,Action-Mystery-Thriller-Crime,6.836,when a mysteri caller put a bomb under hi car seat matt turner begin a high-spe chase across the citi to complet a specif seri of task . with hi kid trap in the back seat and a bomb that will explod if they get out of the car a normal commut becom a twist game of life or death as matt follow the stranger 's increasingli danger instruct in a race against time to save hi famili . bomb-assassination-remake-divorce-duringcreditsstinger-phon call-berlin action-mystery-thriller-crim retribut
842544,Transfusion,Crime-Thriller-Drama,6.602,ryan logan a former special forc oper is battl to cope with life after the loss of hi wife . he is thrust into the crimin underworld to keep hi onli son from be taken from him . loss of love one-crimin underworld-speci forces-cop mechan crime-thriller-drama transfus
848326,Rebel Moon - Part One: A Child of Fire,Science Fiction-Action-Adventure,6.453,when a peac coloni on the edg of the galaxi find itself threaten by the armi of the tyrann regent balisariu they dispatch kora a young woman with a mysteri past to seek out warrior from neighbor planet to help them take a stand . space war-space-spac opera-spac adventure-act hero-alien spaceship-sup hero girls-spac vessel scienc fiction-action-adventur rebel moon - part one : a child of fire
420808,Peter Pan & Wendy,Family-Fantasy-Action-Adventure,5.826,wendi darl a young girl afraid to leav her childhood home behind meet peter pan a boy who refus to grow up . alongsid her brother and a tini fairi tinker bell she travel with peter to the magic world of neverland . there she encount an evil pirat captain captain hook and embark on a thrill adventur that will chang her life forev . island-magic-fairy-fairi tale-pet pan-immortality-remake-pirate-bas on children 's book-fantasi world-liv action remak family-fantasy-action-adventur peter pan & wendi
